Title,Year,Link,Episodes,Aired,Aired_start,Aired_end,AiredOn,Duration,Duration_min,ContentRating,RatingScore,RatingVotes,WatchPlatforms,Format,Genres,Tags,Director,Screenwriter,Ranked,Popularity,Watchers,Has_dubbing_prob,Has_dubbing_pred
"No, Thank You",2020,https://mydramalist.com/62237-daughter-in-law,12,"Nov 21, 2020 - Feb  6, 2021","Nov 21, 2020","Feb  6, 2021",Saturday,20 min.,20,15+ - Teens 15 or older,7.4,201,Viki,Standard Series,"Comedy, Romance, Life, Drama","Married Male Lead, Office Worker Female Lead, Mother-in-law - Daughter-in-law Relationship, Family Relationship, Web Series, Adapted From A Webtoon, (Vote tags)",Lee Gwang Young,,6879,8210,201,0.28,0
New Love Playlist,2022,https://mydramalist.com/724653-new-love-playlist,12,"Nov 18, 2022 - Dec 28, 2022","Nov 18, 2022","Dec 28, 2022","Wednesday, Friday",15 min.,15,13+ - Teens 13 or older,7.4,814,Viki,Standard Series,"Romance, Youth, Drama","Student Female Lead, Student Male Lead, School Setting, Young Adult Female Lead, Young Adult Male Lead, COVID-19, University, Infectious Disease, Illness, Love Square, (Vote tags)",Kang Min Kyung,Choi Yo Ji,6658,4299,814,0.42,0
Villains Everywhere,2025,https://mydramalist.com/777996-villain-s-country,12,"Mar 19, 2025 - Apr 24, 2025","Mar 19, 2025","Apr 24, 2025","Wednesday, Thursday",1 hr. 20 min.,80,Not Yet Rated,7.4,334,Viki,Standard Series,"Comedy, Family, Sitcom","Family Relationship, (Vote tags)",Kim Byung Wook,,6760,6117,334,0.63,1
Replay: The Moment When It Starts Again,2021,https://mydramalist.com/72613-replay,10,"Jan 26, 2021 - Feb 26, 2021","Jan 26, 2021","Feb 26, 2021","Tuesday, Friday",14 min.,14,15+ - Teens 15 or older,7.4,2874,"Amazon Prime Video, Apple TV+, Tubi, Viki",Standard Series,"Music, Romance, Youth, Drama","Web Series, Love Triangle, Nice Female Lead, Jealousy, Multiple Mains, High School, Multiple Couples, Nice Male Lead, Unrequited Love, Friendship, (Vote tags)",,,7162,2953,2874,1,1
Marry You,2024,https://mydramalist.com/762519-marry-you,10,"Nov 16, 2024 - Dec 15, 2024","Nov 16, 2024","Dec 15, 2024","Saturday, Sunday",60 min.,60,15+ - Teens 15 or older,7.4,2477,"Amazon Prime Video, Netflix",Standard Series,"Romance, Melodrama","Professional Male Lead, Co-workers' Relationship, Team Leader Male Lead, Age Gap [Real Life], Competent Male Lead, Single Male Lead, Single Female Lead, Hardworking Male Lead, Teamwork, Matchmaking, (Vote tags)",Yoon Yeo Chang,,6571,2501,2477,1,1
"Nevertheless,",2021,https://mydramalist.com/72855-i-know-but,10,"Jun 19, 2021 - Aug 21, 2021","Jun 19, 2021","Aug 21, 2021",Saturday,1 hr. 10 min.,70,15+ - Teens 15 or older,7.4,69039,Netflix,Standard Series,"Romance, Life, Youth, Drama","Multiple Couples, Love Triangle, Playboy Male Lead, Adapted From A Webtoon, Friends With Benefits, Inner Monologue, Sexual Content, Fast Paced Romance, Unhealthy Mains' Relationship, Flirty Male Lead, (Vote tags)","Kim Ga Ram, Jang Ji Yeon",Jung Won,7127,65,69039,0.9,1
A Model Family,2022,https://mydramalist.com/686401-model-family,10,"Aug 12, 2022","Aug 12, 2022",,Friday,45 min.,45,18+ Restricted (violence & profanity),7.4,2666,Netflix,Standard Series,"Thriller, Mystery, Crime, Drama","Sexual Content, Nudity, Investigation, Suspense, White-Collar Crime, Inchoate Crime, Coercion, Graphic Violence, Detective Fiction, Financial Crime, (Vote tags)","Kim Jin Woo, Park Yoo Young",Lee Jae Gon,6773,2740,2666,0.87,1
"Breakup Probation, A Week",2021,https://mydramalist.com/683105-a-week-delay-of-farewell,10,"Feb 22, 2021 - Feb 26, 2021","Feb 22, 2021","Feb 26, 2021",Monday,30 min.,30,15+ - Teens 15 or older,7.4,706,Viki,Standard Series,"Romance, Drama, Fantasy","Time Travel, Break Up, Death, Cohabitation, Coma, Noble Sacrifice, Car Accident, Orphan Female Lead, Inferiority Complex, Second Chance Romance, (Vote tags)",,Min Ji,6712,5643,706,0.35,0
Summer Guys,2021,https://mydramalist.com/68329-summer-guys,10,"Mar 30, 2021 - Apr 28, 2021","Mar 30, 2021","Apr 28, 2021","Tuesday, Wednesday",30 min.,30,15+ - Teens 15 or older,7.4,1454,Viki,Standard Series,"Music, Romance, Youth, Drama","Multiple Mains, Summer Setting, Bar Setting, Childhood Friends' Relationship, Beach Setting, Seaside Setting, Bartender Male Lead, Miniseries, Web Series, Bromance, (Vote tags)",Heo Chan,Yook Si Mon,7099,3520,1454,0.35,0
Heesu in Class 2,2025,https://mydramalist.com/729841-heesu-in-class-2,10,"Mar 28, 2025 - Apr 26, 2025","Mar 28, 2025","Apr 26, 2025","Friday, Saturday",45 min.,45,13+ - Teens 13 or older,7.4,5484,Viki,Standard Series,"Comedy, Romance, Youth","Gay Male Lead, Gay Romance, LGBTQ+, Student Male Lead, School Setting, Teenager Male Lead, Friendship, Secret Crush, Student Female Lead, School Friends' Relationship, (Vote tags)",Park Kyung Min,,6825,1607,5484,0.63,1
Must You Go?,2021,https://mydramalist.com/75629-it-s-thorny,8,"Feb 26, 2021 - Mar 19, 2021","Feb 26, 2021","Mar 19, 2021",Friday,30 min.,30,15+ - Teens 15 or older,7.4,1583,"Amazon Prime Video, Viki",Standard Series,"Music, Historical, Romance, Fantasy","Adapted From A Webtoon, Musician Female Lead, Musician Male Lead, Singer Female Lead, Singer Male Lead, Chasing A Dream, Past Life, Hardworking Male Lead, Hardworking Female Lead, Entertainment Industry, (Vote tags)",Lim Jae Kyung,"Park Sun Jae, Eo Seo Jin",6657,3619,1583,0.6,1
Bon Appetit,2023,https://mydramalist.com/714709-bon-appetit,8,"Sep 27, 2023","Sep 27, 2023",,Wednesday,30 min.,30,Not Yet Rated,7.4,6715,iQIYI,Standard Series,"Food, Romance","Advertising Designer Male Lead, Office Worker Male Lead, Neighbors' Relationship, Chef Male Lead, Gay Male Lead, Gay Supporting Character, Gay Romance, Meet Again, LGBTQ+, Office Worker Supporting Character, (Vote tags)",Hwang Kyu Il,,6509,1589,6715,0.44,0
FC Soldout,2025,https://mydramalist.com/784546-fc-soldout,8,"Jan 17, 2025 - Mar  7, 2025","Jan 17, 2025","Mar  7, 2025",Friday,25 min.,25,13+ - Teens 13 or older,7.4,3922,iQIYI,Standard Series,"Romance, Youth, Sports","Fan Male Lead, Athlete Male Lead, Actor Male Lead, Gay Male Lead, Secret Crush, LGBTQ+, Miniseries, Sport Club, Friendship, Soccer Player Male Lead, (Vote tags)",,,7150,2349,3922,0.58,0
Heart Stain,2025,https://mydramalist.com/779994-heart-stain,8,"Feb  6, 2025 - Feb 27, 2025","Feb  6, 2025","Feb 27, 2025",Thursday,22 min.,22,Not Yet Rated,7.4,3992,iQIYI,Standard Series,"Romance, Youth","Student Supporting Character, Student Male Lead, Teenager Male Lead, Teacher Supporting Character, Gay Male Lead, Never Dated Before, Gay Romance, Jealous Male Lead, Height Difference, Secret Crush, (Vote tags)",Ha Na,Yoon I Na,7334,2243,3992,0.58,0
Wish You: Your Melody From My Heart,2020,https://mydramalist.com/79341-wish-you-your-melody-in-my-heart,8,"Dec  4, 2020 - Dec 25, 2020","Dec  4, 2020","Dec 25, 2020",Friday,10 min.,10,13+ - Teens 13 or older,7.4,19353,"Netflix, Viki, WeTV",Standard Series,"Music, Romance, Drama","Music Industry, LGBTQ+, Cohabitation, Gay Romance, Shy Male Lead, Miniseries, Singing, Web Series, Rich Male Lead, Gay Male Lead, (Vote tags)",,,6622,561,19353,0.88,1
Love Scene Number,2021,https://mydramalist.com/72859-love-scene-number,8,"Feb  1, 2021","Feb  1, 2021",,,60 min.,60,18+ Restricted (violence & profanity),7.4,1482,Viki,Standard Series,"Romance, Life, Drama","Multiple Mains, Break Up, Infidelity, Sexual Content, Secret Relationship, Life Lesson, Hardworking Female Lead, Smart Female Lead, Love Square, Friendship, (Vote tags)",Kim Hyung Min,Hong Kyung Sil,7062,3533,1482,0.35,0
Love Mate,2023,https://mydramalist.com/748465-love-mate,8,"May  4, 2023 - May 25, 2023","May  4, 2023","May 25, 2023",Thursday,20 min.,20,15+ - Teens 15 or older,7.4,12487,Viki,Standard Series,"Comedy, Romance, Drama","Office Worker Male Lead, Team Leader Male Lead, Gay Male Lead, Gay Romance, Workplace Romance, Superior/Subordinate Relationship, Love At First Sight, LGBTQ+, Workplace Setting, Office Setting, (Vote tags)",So Joon Moon,,6894,887,12487,0.49,0
Yonder,2022,https://mydramalist.com/706039-beyond-the-memory,6,"Oct 14, 2022 - Oct 21, 2022","Oct 14, 2022","Oct 21, 2022",Friday,30 min.,30,15+ - Teens 15 or older,7.4,850,Amazon Prime Video,Standard Series,"Life, Drama, Sci-Fi, Melodrama","Adapted From A Novel, Widower Male Lead, Slight Mystery, Virtual Reality, Future, Miniseries, Immortality, Death, Illness, Cancer, (Vote tags)",Lee Joon Ik,"Kim Jung Hoon, Oh Seung Hyun",7345,4252,850,0.57,0
Bargain,2022,https://mydramalist.com/722071-ransom,6,"Oct 28, 2022 - Nov  4, 2022","Oct 28, 2022","Nov  4, 2022",,36 min.,36,18+ Restricted (violence & profanity),7.4,2139,"Amazon Prime Video, Apple TV+",Standard Series,"Thriller, Comedy, Crime, Drama","Hotel Setting, Survival, Graphic Violence, Dark Fiction, Organized Crime, Disaster, Suspense, Organ Harvesting, Smart Female Lead, Organ Transplantation, (Vote tags)",,Kwak Jae Min,7304,2795,2139,0.92,1
Hellbound Season 2,2024,https://mydramalist.com/730485-hellbound-season-2,6,"Oct 25, 2024","Oct 25, 2024",,Friday,48 min.,48,18+ Restricted (violence & profanity),7.4,4037,Netflix,Standard Series,"Thriller, Mystery, Horror, Supernatural","Cult, Inchoate Crime, Graphic Violence, Dark Fantasy, Propaganda, Flashback To Past, Attempted Murder, Supernatural Power, Resurrection, Monster, (Vote tags)",,Choi Gyu Seok,7185,2101,4037,1,1
The Bequeathed,2024,https://mydramalist.com/732969-family-gravesite,6,"Jan 19, 2024","Jan 19, 2024",,Friday,47 min.,47,15+ - Teens 15 or older,7.4,5118,Netflix,Standard Series,"Thriller, Mystery","Suspense, Family Secret, Investigation, Detective Male Lead, Village Setting, Death, Occult, Half-sister-Half-brother Relationship, Miniseries, Monk/Nun Supporting Character, (Vote tags)",Min Hong Nam,,6902,1976,5118,1,1
Mute,2020,https://mydramalist.com/61839-mute,4,"Apr 19, 2020 - Apr 26, 2020","Apr 19, 2020","Apr 26, 2020",,15 min.,15,13+ - Teens 13 or older,7.4,1127,Viki,Standard Series,"Music, Romance, Supernatural","Miniseries, Web Series, Naive Female Lead, Misophonia, Mind Reading, Short Length Series, Height Difference, Songwriter Male Lead, Musician Male Lead, Singer Male Lead, (Vote tags)",Park Sun Jae,"Kang Han Na, One",6976,5440,1127,0.28,0
Hunted,2022,https://mydramalist.com/722715-wild-boar-hunt,4,"Aug  1, 2022 - Aug 22, 2022","Aug  1, 2022","Aug 22, 2022",Monday,1 hr. 9 min.,69,Not Yet Rated,7.4,575,Viki,Standard Series,"Thriller, Mystery","Village Setting, Countryside Setting, Married Female Lead, Married Male Lead, Neurological Disorder, Elder Female Lead, Dementia, Miniseries, Disability, Illness, (Vote tags)",Song Yeon Hwa,Jo Beom Gi,6747,6833,575,0.42,0
Cafe Midnight,2020,https://mydramalist.com/57527-late-night-cafe,1,"Feb 29, 2020","Feb 29, 2020",,Saturday,1 hr. 3 min.,63,15+ - Teens 15 or older,7.4,417,"Amazon Prime Video, Tubi",Drama Special,"Drama, Fantasy","Café Setting, Barista Male Lead, Café Owner Male Lead, Fate, Character Development, Healing, Part-time Worker Male Lead, Secret, Time Skip, Web Series, (Vote tags)",,,6588,7029,417,0.48,0
Cafe Midnight Season 3: The Curious Stalker,2021,https://mydramalist.com/79097-the-curious-stalker,1,"Feb 19, 2021","Feb 19, 2021",,Friday,60 min.,60,15+ - Teens 15 or older,7.4,827,"Amazon Prime Video, Tubi",Drama Special,"Romance, Drama, Fantasy","Student Male Lead, Café Setting, Teenager Male Lead, Clairvoyance, High School, Precognition, Web Series, Coming Of Age, Character Development, (Vote tags)",Jung Yoon Soo,Won Yeong Jin,7287,5568,827,0.55,0
Drama Special Season 11: Modern Girl,2020,https://mydramalist.com/70215-drama-special-modern-girl,1,"Nov  7, 2020","Nov  7, 2020",,Saturday,60 min.,60,15+ - Teens 15 or older,7.4,220,Viki,Drama Special,"Historical, Romance, Drama","Loveless Marriage, Historical Fiction, Master-Servant Relationship, Japanese Colonial Rule, Unrequited Love, Love Triangle, Friendship, (Vote tags)",Hong Eun Mi,,7305,14017,220,0.28,0
Drama Special Season 11: One Night,2020,https://mydramalist.com/78613-drama-special-season-11-one-night,1,"Dec 24, 2020","Dec 24, 2020",,Thursday,1 hr. 3 min.,63,15+ - Teens 15 or older,7.4,118,Viki,Drama Special,"Action, Comedy, Crime, Drama","Emotionally Strong Female Lead, Drug Trafficking, Civil Exam, Poverty, Attempted Suicide, Poor Female Lead, Black Comedy, Debt, Social Issues, Mistaken Identity, (Vote tags)",,,42580,18463,118,0.28,0
Drama Special Season 11: While You're Away,2020,https://mydramalist.com/70849-drama-special-thief-sleep,1,"Dec 10, 2020","Dec 10, 2020",,Thursday,1 hr. 5 min.,65,15+ - Teens 15 or older,7.4,232,Viki,Drama Special,"Romance, Drama","Hairdresser Female Lead, Break Up, Cohabitation, (Vote tags)",Choi Sang Yeol,,6746,13919,232,0.28,0
SF8: Manxin,2020,https://mydramalist.com/58921-sf8-manshin,1,"Aug 21, 2020","Aug 21, 2020",,Friday,53 min.,53,15+ - Teens 15 or older,7.4,685,Viki,Drama Special,"Action, Thriller, Drama, Sci-Fi","Fortune-telling, Artificial Intelligence, Suspense, (Vote tags)",Roh Deok,,7351,8983,685,0.28,0
SF8: White Crow,2020,https://mydramalist.com/58935-sf8-white-crow,1,"Sep 18, 2020","Sep 18, 2020",,Friday,58 min.,58,15+ - Teens 15 or older,7.4,551,Viki,Drama Special,"Horror, Psychological, Sci-Fi","Virtual Reality, Suspense, Adapted From A Short Story, Trauma, Friendship, School Bullying, School Violence, Cyberbullying, Death Game, Social Issues, (Vote tags)",Jang Cheol Soo,,7145,9162,551,0.28,0
Drama Special Season 12: Atonement,2021,https://mydramalist.com/708983-drama-special-season-12-three,1,"Dec 10, 2021","Dec 10, 2021",,Friday,1 hr. 5 min.,65,18+ Restricted (violence & profanity),7.4,57,Viki,Drama Special,"Thriller, Drama","Sexual Violence, Female Centered Plot, Revenge, Violence, Suspense, (Vote tags)",Goo Sung Joon,Lee Nam Hee,42509,21019,57,0.35,0
Drama Special Season 13: Stain,2022,https://mydramalist.com/736205-drama-special-season-13-stain,1,"Nov 16, 2022","Nov 16, 2022",,Wednesday,1 hr. 4 min.,64,Not Yet Rated,7.4,255,Viki,Drama Special,"Thriller, Psychological, Drama","Student Male Lead, School Setting, Pianist Male Lead, Part-time Worker Male Lead, Young Adult Male Lead, Desperate Male Lead, Unlucky Male Lead, Poverty, University, Social Issues, (Vote tags)",Lee Min Soo,Yeo Myung Jae,6956,12539,255,0.42,0
Drama Special Season 15: Find Handsome!,2024,https://mydramalist.com/774463-drama-special-season-15-find-handsome,1,"Nov 12, 2024","Nov 12, 2024",,Tuesday,,,Not Yet Rated,7.4,106,Viki,Drama Special,"Mystery, Comedy","Searching For A Friend, Former Celebrity Male Lead, Moving On, Band Reunion, Dancer Male Lead, Singer Male Lead, Idol Male Lead, Actor/Actress Supporting Character, Poetic Narration, Past Failure, (Vote tags)",,Lee Nam Hee,42880,20444,106,0.56,0
Drama Special Season 15: The Road in Between,2024,https://mydramalist.com/774465-drama-special-season-15-when-you-turn-the-corner,1,"Dec  3, 2024","Dec  3, 2024",,Tuesday,1 hr. 4 min.,64,Not Yet Rated,7.4,225,Viki,Drama Special,Life,"Searching For A Parent, Cartographer Male Lead, Supportive Male Lead, Determined Female Lead, Disappearance, Nice Male Lead, Pharmacist Female Lead, Neighborhood Setting, Slight Romance, Ex Comes Back, (Vote tags)",,,7176,12456,225,0.56,0
Second Husband,2021,https://mydramalist.com/698835-second-husband,150,"Aug  9, 2021 - Apr  5, 2022","Aug  9, 2021","Apr  5, 2022","Monday, Tuesday, Wednesday, Thursday, Friday",35 min.,35,15+ - Teens 15 or older,7.5,1030,"Amazon Prime Video, Viki",Standard Series,"Romance, Drama, Melodrama","Revenge, Wrongfully Accused, Age Gap [Real Life], Optimistic Female Lead, Soap Opera, Family Relationship, Infidelity, (Vote tags)",Kim Chil Bong,Seo Hyun Joo,6006,4106,1030,0.57,0
The Love in Your Eyes,2022,https://mydramalist.com/737913-it-s-like-a-bean-in-a-pod,123,"Oct  3, 2022 - Mar 24, 2023","Oct  3, 2022","Mar 24, 2023","Monday, Tuesday, Wednesday, Thursday, Friday",27 min.,27,15+ - Teens 15 or older,7.5,559,Viki,Standard Series,"Romance, Drama","Family, Death Of A Husband, Widow Female Lead, Part-time Worker Female Lead, Heir Male Lead, Age Gap [Drama Life], Single Mother Female Lead, Chasing A Dream, Fated Love, Hardworking Female Lead, (Vote tags)",Go Young Tak,Na Seung Hyun,5540,6715,559,0.39,0
"The King of Tears, Lee Bang Won",2021,https://mydramalist.com/707971-taejong-yi-bang-won,32,"Dec 11, 2021 - May  1, 2022","Dec 11, 2021","May  1, 2022","Saturday, Sunday",60 min.,60,15+ - Teens 15 or older,7.5,268,"Amazon Prime Video, Viki",Standard Series,"Thriller, Historical, Drama, Political","Historical Fiction, Royalty, Joseon Dynasty, Suspense, Consort Supporting Character, Eunuch Supporting Character, Monk/Nun Supporting Character, King Supporting Character, Queen Supporting Character, Prince Supporting Character, (Vote tags)",Kim Hyung Il,Lee Jung Woo,6420,7131,268,0.57,0
"Meow, the Secret Boy",2020,https://mydramalist.com/32545-man-that-bakes-bread,24,"Mar 25, 2020 - Apr 30, 2020","Mar 25, 2020","Apr 30, 2020","Wednesday, Thursday",35 min.,35,15+ - Teens 15 or older,7.5,15293,Viki,Standard Series,"Comedy, Romance, Drama, Fantasy","Cohabitation, Cat, Nice Male Lead, Innocent Male Lead, Love Triangle, Double Identity, Transformation, Calm Male Lead, Hidden Identity, Eccentric Male Lead, (Vote tags)","Ji Byung Hyun, Goo Sung Joon",Joo Hwa Mi,5756,477,15293,0.25,0
The Escape of the Seven: War for Survival,2023,https://mydramalist.com/726783-seven-escape,17,"Sep 15, 2023 - Nov 17, 2023","Sep 15, 2023","Nov 17, 2023","Friday, Saturday",1 hr. 15 min.,75,15+ - Teens 15 or older,7.5,4448,"Amazon Prime Video, Viki",Standard Series,"Thriller, Mystery, Drama","Multiple Mains, Suspense, Talent Agency Setting, Revenge, Violence, Rich Male Lead, Abusive Female Lead, Famous Female Lead, Blackmail, Hidden Identity, (Vote tags)","Joo Dong Min, O Jun Hyeok",Kim Soon Ok,5701,1327,4448,0.71,1
Love Is for Suckers,2022,https://mydramalist.com/719759-love-that-will-freeze-to-death,16,"Oct  5, 2022 - Dec  1, 2022","Oct  5, 2022","Dec  1, 2022","Wednesday, Thursday",60 min.,60,15+ - Teens 15 or older,7.5,6776,"Amazon Prime Video, Viki",Standard Series,"Comedy, Romance","Childhood Friends' Relationship, Entertainment Industry, Friends To Lovers, Friendship, Ex Comes Back, Producer Supporting Character, Producer Female Lead, Professor Supporting Character, Plastic Surgeon Male Lead, Chef Supporting Character, (Vote tags)",Choi Kyu Shik,Kim Sol Ji,6290,1152,6776,0.67,1
Uncle Samsik,2024,https://mydramalist.com/736975-uncle-samsik,16,"May 15, 2024 - Jun 19, 2024","May 15, 2024","Jun 19, 2024",Wednesday,45 min.,45,15+ - Teens 15 or older,7.5,669,"Disney+, Hulu",Standard Series,"Business, Drama, Political","Partners' Relationship, Male Centered Plot, 1960s, Power Struggle, Ambitious Male Lead, Patriotism, Activist Supporting Character, Bilingual Male Lead, Politician Supporting Character, Intergenerational Friendship, (Vote tags)",,,6194,3860,669,1,1
Record of Youth,2020,https://mydramalist.com/52015-youth-report,16,"Sep  7, 2020 - Oct 27, 2020","Sep  7, 2020","Oct 27, 2020","Monday, Tuesday",1 hr. 15 min.,75,15+ - Teens 15 or older,7.5,33699,Netflix,Standard Series,"Romance, Life, Youth, Drama","Family Relationship, Dysfunctional Family, Hardworking Male Lead, Grandpa-Grandson Relationship, Love Triangle, Family Pressure, Nice Male Lead, Hardworking Female Lead, Modeling, Inferiority Complex, (Vote tags)",Ahn Gil Ho,Ha Myung Hee,6023,170,33699,0.78,1
Rugal,2020,https://mydramalist.com/40113-rugal,16,"Mar 28, 2020 - May 17, 2020","Mar 28, 2020","May 17, 2020","Saturday, Sunday",1 hr. 5 min.,65,15+ - Teens 15 or older,7.5,8621,Netflix,Standard Series,"Action, Thriller, Crime, Sci-Fi","Power Struggle, Human Experimentation, Hot-Tempered Male Lead, Adapted From A Webtoon, Biotechnology, Skilled Killer, Revenge, Wrongfully Accused, Bromance, Murder, (Vote tags)",Kang Cheol Woo,Do Hyun,5881,913,8621,0.73,1
Cleaning Up,2022,https://mydramalist.com/705981-cleaning-up,16,"Jun  4, 2022 - Jul 24, 2022","Jun  4, 2022","Jul 24, 2022","Saturday, Sunday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.5,823,Netflix,Standard Series,"Comedy, Crime, Drama","Financial Fraud, White-Collar Crime, Janitorial And Cleaning Services Industry, Student Supporting Character, Co-workers' Relationship, Non-MDL Remake, Broker Male Lead, Public Officer Supporting Character, Ex-spouse Relationship, Manager Supporting Character, (Vote tags)",Yoon Sung Shik,Choi Kyung Mi,6193,4290,823,0.87,1
Forecasting Love and Weather,2022,https://mydramalist.com/692969-office-romance-cruelty,16,"Feb 12, 2022 - Apr  3, 2022","Feb 12, 2022","Apr  3, 2022","Saturday, Sunday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.5,32295,Netflix,Standard Series,"Romance, Drama, Melodrama","Older Woman/Younger Man, Boss-Employee Relationship, Secret Relationship, Smart Male Lead, Teamwork, Reporter Female Lead, Mother-Daughter Relationship, Cold Female Lead, Nice Male Lead, Fast Paced Romance, (Vote tags)",Cha Young Hoon,Sun Young,5804,221,32295,0.92,1
Cheer Up,2022,https://mydramalist.com/715821-cheer-up,16,"Oct  3, 2022 - Dec 13, 2022","Oct  3, 2022","Dec 13, 2022","Monday, Tuesday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.5,17931,"Netflix, Viki",Standard Series,"Mystery, Comedy, Romance, Youth","University, Campus Setting, Love Triangle, Cheerleader Male Lead, School Club, Cheerful Female Lead, Cheerleader Female Lead, Character Development, Diligent Female Lead, Hardworking Female Lead, (Vote tags)",Han Tae Seob,Cha Hye Won,5593,407,17931,0.97,1
Show Window: The Queen's House,2021,https://mydramalist.com/696043-queen-s-house,16,"Nov 29, 2021 - Jan 18, 2022","Nov 29, 2021","Jan 18, 2022","Monday, Tuesday",1 hr. 5 min.,65,15+ - Teens 15 or older,7.5,980,Viki,Standard Series,"Thriller, Mystery, Romance, Drama","Domestic Crime, Betrayed By A Significant Other, Mistress Female Lead, Married Life, Extramarital Affair, Brother-Sister Relationship, Dysfunctional Family, Rich Family, Rich Female Lead, Family Relationship, (Vote tags)","Kang Sol, Park Dae Hee",Han Bo Kyung,5767,4311,980,0.35,0
The Heavenly Idol,2023,https://mydramalist.com/729161-the-high-priest-rembrary,12,"Feb 15, 2023 - Mar 23, 2023","Feb 15, 2023","Mar 23, 2023","Wednesday, Thursday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.5,14485,"Amazon Prime Video, Viki",Standard Series,"Comedy, Romance, Drama, Fantasy","Transmigration, Idol Male Lead, Body Swap, Priest Male Lead, Music Industry, Physically Strong Male Lead, Emotionally Strong Female Lead, Emotionally Strong Male Lead, Adapted From A Web Novel, Age Gap [Real Life], (Vote tags)","Lee So Yoon, Park So Yeon",Lee Chun Geum,6027,417,14485,0.74,1
Hide,2024,https://mydramalist.com/744065-hyde,12,"Mar 23, 2024 - Apr 28, 2024","Mar 23, 2024","Apr 28, 2024","Saturday, Sunday",60 min.,60,15+ - Teens 15 or older,7.5,1555,"Apple TV+, Viki",Standard Series,"Thriller, Mystery, Drama","Inchoate Crime, Difficult Adulthood, Searching For A Significant Other, Former Prosecutor Female Lead, Non-MDL Remake, Ex-Convict Male Lead, Married Female Lead, Married Male Lead, Neighbors' Relationship, Detective Supporting Character, (Vote tags)",Kim Dong Hwi,Yoo Bo Ra,6056,3123,1555,0.91,1
Perfect Family,2024,https://mydramalist.com/748833-perfect-family,12,"Aug 14, 2024 - Sep 19, 2024","Aug 14, 2024","Sep 19, 2024","Wednesday, Thursday",59 min.,59,15+ - Teens 15 or older,7.5,4088,"Apple TV+, Viki",Standard Series,"Thriller, Mystery, Drama, Family","Psychological, Manipulative Friend, Manipulative Parent, Jealous Friend, Adoptive Mother-Adoptive Daughter Relationship, Adoptive Father-Adoptive Daughter Relationship, Childhood Friends' Relationship, City Setting, Cold Open, Child Trafficking, (Vote tags)",Yukisada Isao,Choi Seong Geol,5966,1478,4088,0.91,1
Family: The Unbreakable Bond,2023,https://mydramalist.com/730561-family,12,"Apr 17, 2023 - May 23, 2023","Apr 17, 2023","May 23, 2023","Monday, Tuesday",1 hr. 20 min.,80,15+ - Teens 15 or older,7.5,3878,"Disney+, Hulu",Standard Series,"Action, Thriller, Comedy, Drama","Spy Male Lead, Married Life, Double Identity, Romance, Hidden Identity, Physically Strong Female Lead, Physically Strong Male Lead, Emotionally Strong Female Lead, Family Struggle, Trader Male Lead, (Vote tags)","Jang Jung Do, Lee Jung Mook",Jung Yoo Sun,5659,1427,3878,0.99,1
Behind Every Star,2022,https://mydramalist.com/700367-survive-as-a-celebrity-manager,12,"Nov  7, 2022 - Dec 13, 2022","Nov  7, 2022","Dec 13, 2022","Monday, Tuesday",1 hr. 10 min.,70,15+ - Teens 15 or older,7.5,2634,Netflix,Standard Series,"Comedy, Romance, Life","Entertainment Industry, Teamwork, Office Setting, Drama, Non-MDL Remake, Actor/Actress Supporting Character, Father-Son Relationship, Business Industry, Emotionally Strong Female Lead, Talent Agency Setting, (Vote tags)",Baek Seung Ryong,Park So Young,6041,2674,2634,0.87,1
Somehow Family,2021,https://mydramalist.com/54985-somehow-family,12,"Mar 21, 2021 - Jun  6, 2021","Mar 21, 2021","Jun  6, 2021",Sunday,60 min.,60,15+ - Teens 15 or older,7.5,138,Tubi,Standard Series,"Romance, Drama, Family, Sitcom","Comedy, Boarding House Setting, Bickering Mains' Relationship, Airport Setting, Restaurant Setting, Neighbors' Relationship, Brothers' Relationship, Married Life, Secret Crush, First Love, (Vote tags)",,,42085,8122,138,0.3,0
Political Fever,2021,https://mydramalist.com/693457-going-to-the-blue-house,12,"Nov 12, 2021","Nov 12, 2021",,Friday,36 min.,36,15+ - Teens 15 or older,7.5,127,Viki,Standard Series,"Comedy, Sitcom, Political","Sexual Violence, Black Comedy, Kidnapping, Violence, (Vote tags)",,"Park Noo Ri, Kim Hong Ik, Choi Sung Jin",41998,9626,127,0.35,0
"No, Thank You Season 2",2022,https://mydramalist.com/710989-no-thank-you-season-2,12,"Jan  8, 2022 - Mar 26, 2022","Jan  8, 2022","Mar 26, 2022",Saturday,20 min.,20,15+ - Teens 15 or older,7.5,137,Viki,Standard Series,"Comedy, Romance, Life, Drama","Family Relationship, Web Series, Adapted From A Webtoon, (Vote tags)",Lee Gwang Young,,41627,11826,137,0.42,0
