Title,Year,Link,Episodes,Aired,Aired_start,Aired_end,AiredOn,OriginalNetwork,Duration,Duration_min,ContentRating,RatingScore,RatingVotes,WatchPlatforms,Format,Genres,Tags,Director,Screenwriter,Ranked,Popularity,Watchers,Has_dubbing_prob,Has_dubbing_pred
I Need Standards 2,2020,https://mydramalist.com/716865-i-need-standards-2,4,"Jan 14, 2020 - Feb  4, 2020","Jan 14, 2020","Feb  4, 2020",,,9 min.,9,13+ - Teens 13 or older,6.7,14,,Standard Series,"Comedy, Romance","Miniseries, Web Series, (Vote tags)",,,53206,99999,14,0.18,0
Scene Number Paran,2020,https://mydramalist.com/58441-scene-number-paran,3,"Mar  1, 2020 - Mar  8, 2020","Mar  1, 2020","Mar  8, 2020",,,11 min.,11,13+ - Teens 13 or older,6.7,64,Viki,Standard Series,"Comedy, Romance, Youth","Student Female Lead, Student Male Lead, School Setting, Young Adult Female Lead, Young Adult Male Lead, Short Length Series, Filmmaking, University, Mathematics, Miniseries, (Vote tags)",Jung Sung Bin,Ahn Se Hwa,53900,21326,64,0.28,0
Heart Fluttering Spring,2020,https://mydramalist.com/75349-heart-fluttering-spring,4,"Apr  3, 2020 - Apr 24, 2020","Apr  3, 2020","Apr 24, 2020",Friday,,6 min.,6,Not Yet Rated,6.7,21,,Drama Special,"Romance, Youth","Short Length Series, Miniseries, Web Series, Advertisement, (Vote tags)",,,53966,99999,21,0.18,0
In Your Dream,2020,https://mydramalist.com/51707-in-your-dream,8,"Jun 15, 2020 - Aug  3, 2020","Jun 15, 2020","Aug  3, 2020",Monday,,10 min.,10,15+ - Teens 15 or older,6.6,45,"Amazon Prime Video, Tubi",Standard Series,"Romance, Drama","Adapted From A Webtoon, Café Setting, Café Owner Male Lead, Short Length Series, Chasing A Dream, Energetic Female Lead, Web Movie, Shy Male Lead, Car Accident, Secret Crush, (Vote tags)",,,54449,11980,45,0.48,0
Lululala Pawn Shop,2020,https://mydramalist.com/65557-lululala-pawn-shop,7,"Dec 20, 2020","Dec 20, 2020",,Sunday,,12 min.,12,15+ - Teens 15 or older,6.6,12,,Standard Series,"Comedy, Fantasy","Miniseries, Web Series, (Vote tags)",,,54704,99999,12,0.18,0
Winter Vacation,2020,https://mydramalist.com/54439-winter-vacation,6,"Jan 10, 2020 - Feb 14, 2020","Jan 10, 2020","Feb 14, 2020",Friday,,11 min.,11,15+ - Teens 15 or older,6.6,55,,Standard Series,"Romance, Youth","Student Female Lead, Student Male Lead, School Setting, Teenager Female Lead, Teenager Male Lead, Short Length Series, Miniseries, High School, Web Series, Coming Of Age, (Vote tags)",,Kim Hyo Jin,54745,17116,55,0.18,0
The Reason I Hate You,2020,https://mydramalist.com/683329-weekly-bamboo,3,"Jul  8, 2020 - Jul 22, 2020","Jul  8, 2020","Jul 22, 2020",,,8 min.,8,Not Yet Rated,6.6,37,,Standard Series,"Comedy, Romance, Youth","Short Length Series, Break Up, Anthology, Betrayal, Jealousy, Miniseries, Infidelity, Web Series, (Vote tags)",Ha Han Me,,54780,99999,37,0.18,0
Hearts and Hari,2020,https://mydramalist.com/59815-hearts-and-hari,12,"Jan 17, 2020 - Mar 21, 2020","Jan 17, 2020","Mar 21, 2020",Friday,,10 min.,10,13+ - Teens 13 or older,6.5,54,,Standard Series,"Horror, Comedy, Romance, Supernatural","Café Setting, Barista Female Lead, Short Length Series, Supernatural Being, Web Series, Ghost, Friendship, Suspense, (Vote tags)",,,54864,19773,54,0.18,0
Sweet and Salty Fairy,2020,https://mydramalist.com/59767-sweet-and-salty-fairy,5,"Mar  5, 2020 - Mar 19, 2020","Mar  5, 2020","Mar 19, 2020",Wednesday,,12 min.,12,15+ - Teens 15 or older,6.5,77,,Standard Series,"Comedy, Romance, Youth, Fantasy","Student Female Lead, Student Male Lead, School Setting, Convenience Store Setting, Fairy Male Lead, Part-time Worker Male Lead, Young Adult Female Lead, Young Adult Male Lead, Short Length Series, Secret Crush, (Vote tags)",,,54976,17491,77,0.18,0
Cheeze Go,2020,https://mydramalist.com/68575-cheese-go,4,"May 23, 2020 - Sep 30, 2020","May 23, 2020","Sep 30, 2020",,,4 min.,4,Not Yet Rated,6.5,24,,Standard Series,"Life, Youth","Student Female Lead, School Setting, Teenager Female Lead, Short Length Series, Miniseries, High School, Web Series, Friendship, (Vote tags)",,,54990,99999,24,0.18,0
Phoenix 2020,2020,https://mydramalist.com/63425-phoenix,120,"Oct 26, 2020 - Apr  9, 2021","Oct 26, 2020","Apr  9, 2021","Monday, Tuesday, Wednesday, Thursday, Friday",,30 min.,30,15+ - Teens 15 or older,6.5,199,Viki,Standard Series,"Business, Romance, Drama, Melodrama","Disapproving Parent, Time Skip, Family Pressure, Rags To Riches, First Love, Pregnancy, Love Triangle, Human Rights Violation, White-Collar Crime, Crime Against A Person, (Vote tags)","Lee Hyun Jik, Kim Jae Hong",Lee Yoo Jin,54991,8285,199,0.25,0
My YouTube Diary Season 2,2020,https://mydramalist.com/76587-my-youtube-diary-2,8,"Oct 23, 2020 - Dec 11, 2020","Oct 23, 2020","Dec 11, 2020",Friday,,12 min.,12,G - All Ages,6.5,23,,Standard Series,"Comedy, Romance, Youth","YouTuber Female Lead, Short Length Series, Miniseries, Web Series, Friendship, (Vote tags)",,,55109,99999,23,0.18,0
You I Didn't Know,2020,https://mydramalist.com/683331-weekly-bamboo-2,3,"Aug 12, 2020 - Sep  2, 2020","Aug 12, 2020","Sep  2, 2020",,,8 min.,8,Not Yet Rated,6.4,96,Viki,Standard Series,"Comedy, Romance, Youth","Lesbian Romance, LGBTQ+, Lesbian Female Lead, Short Length Series, Anthology, Miniseries, Web Series, (Vote tags)",Ha Han Me,,55593,16574,96,0.28,0
Drama Festa: Recipe for Happiness,2020,https://mydramalist.com/30662-the-essence-of-happiness,2,"May 18, 2020 - May 19, 2020","May 18, 2020","May 19, 2020","Monday, Tuesday",,60 min.,60,Not Yet Rated,6.4,22,,Drama Special,Romance,"Miniseries, (Vote tags)",Yoon Jae Won,,55741,17701,22,0.18,0
Sweat Romance Season 2,2020,https://mydramalist.com/75001-sweat-romance-2,9,"Feb 15, 2020 - Mar 14, 2020","Feb 15, 2020","Mar 14, 2020","Wednesday, Saturday",,7 min.,7,Not Yet Rated,6.4,17,,Standard Series,Romance,"Short Length Series, Miniseries, Web Series, (Vote tags)",,,55771,99999,17,0.18,0
Intern Z,2020,https://mydramalist.com/74757-intern-z,6,"Oct 14, 2020 - Nov 12, 2020","Oct 14, 2020","Nov 12, 2020","Wednesday, Thursday",,12 min.,12,15+ - Teens 15 or older,6.4,26,,Standard Series,"Comedy, Life, Drama","Workplace Setting, Office Worker Female Lead, Office Worker Male Lead, Short Length Series, Miniseries, Web Series, Advertisement, (Vote tags)",,,55919,99999,26,0.18,0
A Successful Geek,2020,https://mydramalist.com/694783-a-successful-geek,5,"May 14, 2020 - May 28, 2020","May 14, 2020","May 28, 2020","Monday, Thursday",,9 min.,9,Not Yet Rated,6.2,12,,Standard Series,"Comedy, Drama","Short Length Series, Miniseries, Web Series, Based On A True Story, Friendship, (Vote tags)",,,56401,99999,12,0.18,0
Something Music Season 2,2020,https://mydramalist.com/691865-something-music-season-2,9,"Aug 10, 2020 - Oct 12, 2020","Aug 10, 2020","Oct 12, 2020",Monday,,9 min.,9,Not Yet Rated,6.1,12,,Standard Series,"Music, Drama","Short Length Series, Miniseries, Web Series, Friendship, (Vote tags)",Han Da Weon,,56726,99999,12,0.18,0
Ask Miss Shin,2020,https://mydramalist.com/59461-sotongui-misseusin,3,"Apr  6, 2020 - Apr 20, 2020","Apr  6, 2020","Apr 20, 2020",Monday,,11 min.,11,Not Yet Rated,6.1,30,,Standard Series,"Drama, Supernatural","Short Length Series, Miniseries, Web Series, (Vote tags)",,,56739,99999,30,0.18,0
Sugar Coating,2020,https://mydramalist.com/72585-sugar-coating,6,"Oct  8, 2020 - Nov 12, 2020","Oct  8, 2020","Nov 12, 2020",Thursday,,9 min.,9,15+ - Teens 15 or older,6.1,12,,Standard Series,"Romance, Life, Youth, Drama","Difficult Adulthood, Short Length Series, Miniseries, Web Series, Character Development, Friendship, (Vote tags)",,,56783,20241,12,0.18,0
Clumsy Girl's Complex,2020,https://mydramalist.com/73125-clumsy-girl-s-complex,1,"Sep 20, 2020","Sep 20, 2020",,,,11 min.,11,Not Yet Rated,6.1,16,,Drama Special,Romance,"Adapted From A Web Novel, Web Series, (Vote tags)",,,56828,99999,16,0.18,0
Yeokkeuni,2020,https://mydramalist.com/77049-yeokkeuni,5,"Sep 29, 2020 - Oct 27, 2020","Sep 29, 2020","Oct 27, 2020",Tuesday,,8 min.,8,G - All Ages,6.1,23,,Standard Series,"Romance, Drama","Short Length Series, Literature, Miniseries, Cohabitation, Web Series, (Vote tags)",,,56858,99999,23,0.18,0
Inside the Films of Bong Joon Ho,2020,https://mydramalist.com/59241-inside-the-films-of-bong-joon-ho,1,,,,,,54 min.,54,Not Yet Rated,,,,Drama Special,Documentary,"Entertainment Industry, Film Industry, (Vote tags)",,,99999,99999,0,0.18,0
D+day,2020,https://mydramalist.com/713965-d-day,7,"Dec 24, 2020 - Feb  4, 2021","Dec 24, 2020","Feb  4, 2021",Thursday,,10 min.,10,Not Yet Rated,0,,,Standard Series,Mystery,"Investigation, Short Length Series, Miniseries, (Vote tags)",,,99999,99999,0,0.18,0
U Get Me,2020,https://mydramalist.com/790206-u-get-me,3,"Dec 24, 2020","Dec 24, 2020",,,,10 min.,10,Not Yet Rated,0,,,Web Series,,"Short Length Series, Miniseries, Web Series, Advertisement, (Vote tags)",,,99999,99999,0,0.18,0
Color Prison,2020,https://mydramalist.com/64845-color-prison,9,"Dec 12, 2020","Dec 12, 2020",,,,7 min.,7,15+ - Teens 15 or older,6.7,6,,Standard Series,"Romance, Youth","School Setting, Island Setting, Short Length Series, Cheerful Female Lead, Miniseries, Web Series, Friendship, (Vote tags)",,,99999,99999,6,0.18,0
Still You,2020,https://mydramalist.com/728621-still-you,5,"Dec  9, 2020 - Jan  6, 2021","Dec  9, 2020","Jan  6, 2021",,,10 min.,10,Not Yet Rated,5.9,7,,Standard Series,Romance,"Short Length Series, Musical, Miniseries, (Vote tags)",,,99999,99999,7,0.18,0
Cramped Love,2020,https://mydramalist.com/80263-patient-love,3,"Nov 27, 2020 - Dec  4, 2020","Nov 27, 2020","Dec  4, 2020","Wednesday, Friday",,10 min.,10,Not Yet Rated,5.9,9,,Standard Series,Romance,"Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,9,0.18,0
Keep Out! Women Over 60 Only,2020,https://mydramalist.com/791702-keep-out-women-over-60-only,2,"Nov 16, 2020 - Nov 17, 2020","Nov 16, 2020","Nov 17, 2020","Monday, Tuesday",,55 min.,55,Not Yet Rated,0,,,Drama Special,Documentary,"Elder Female Lead, Miniseries, (Vote tags)",Lee Seung Ju,,99999,99999,0,0.18,0
"Pairing, I Can Hear Your Heart",2020,https://mydramalist.com/775635-pairing-i-can-hear-your-heart,6,"Nov 13, 2020 - Dec 18, 2020","Nov 13, 2020","Dec 18, 2020",,,16 min.,16,Not Yet Rated,0,,,Standard Series,Youth,"Student Female Lead, Student Male Lead, School Setting, Short Length Series, Miniseries, High School, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
"If in Love, Choose an Ordinance?!",2020,https://mydramalist.com/744597-if-in-love-choose-an-ordinance,12,"Nov  7, 2020 - Dec 27, 2020","Nov  7, 2020","Dec 27, 2020",,,10 min.,10,Not Yet Rated,8,1,,Standard Series,Political,"Twin Exchange, (Vote tags)",,,99999,99999,1,0.18,0
Super Smart Quiz Show,2020,https://mydramalist.com/79819-super-smart-quiz-show,5,"Nov  4, 2020 - Dec  2, 2020","Nov  4, 2020","Dec  2, 2020",Wednesday,,15 min.,15,Not Yet Rated,6.7,7,,Standard Series,"Youth, Sci-Fi","Educational Show, Student Female Lead, Student Male Lead, Teenager Female Lead, Teenager Male Lead, Short Length Series, Smart Female Lead, Miniseries, High School, Artificial Intelligence, (Vote tags)",,,99999,99999,7,0.18,0
Scene and Box: Season of Love,2020,https://mydramalist.com/711011-scene-and-box-season-of-love,4,"Oct 30, 2020 - Nov 20, 2020","Oct 30, 2020","Nov 20, 2020",,,7 min.,7,Not Yet Rated,6.1,7,,Standard Series,Romance,"Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,7,0.18,0
Love Assistant,2020,https://mydramalist.com/695579-love-assistant,10,"Oct 28, 2020 - Dec 23, 2020","Oct 28, 2020","Dec 23, 2020",Wednesday,,8 min.,8,G - All Ages,10,2,,Standard Series,Romance,"Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,2,0.23,0
Documentary - Eun's Company,2020,https://mydramalist.com/77113-documentary-eun-s-company,1,"Oct 22, 2020","Oct 22, 2020",,,,,,Not Yet Rated,0,,,Drama Special,"Comedy, Documentary",(Vote tags),,,99999,99999,0,0.18,0
Portrait of a Family,2020,https://mydramalist.com/740329-portrait-of-a-family,8,"Oct 20, 2020 - Nov 17, 2020","Oct 20, 2020","Nov 17, 2020",Tuesday,,7 min.,7,Not Yet Rated,0,,,Standard Series,"Comedy, Life, Family","Short Length Series, Miniseries, Web Series, Sketch Comedy, (Vote tags)",,,99999,99999,0,0.18,0
Third Person Dating Perspective,2020,https://mydramalist.com/61057-3rd-person-love-point,3,"Oct  9, 2020 - Oct 22, 2020","Oct  9, 2020","Oct 22, 2020",,,12 min.,12,15+ - Teens 15 or older,7.2,4,,Standard Series,Romance,"Web Series, Short Length Series, Miniseries, (Vote tags)",,,99999,99999,4,0.18,0
Scene and Box Season 2,2020,https://mydramalist.com/711007-scene-and-box-season-2,3,"Oct  9, 2020 - Oct 23, 2020","Oct  9, 2020","Oct 23, 2020",,,6 min.,6,Not Yet Rated,5.5,8,,Standard Series,Romance,"Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,8,0.18,0
Special Record on Earth,2020,https://mydramalist.com/718457-special-record-on-earth,10,"Sep 29, 2020 - Dec  8, 2020","Sep 29, 2020","Dec  8, 2020",,,10 min.,10,Not Yet Rated,6.5,4,,Standard Series,Drama,"Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,4,0.18,0
MBTI: You're One of These,2020,https://mydramalist.com/776321-mbti-you-re-one-of-these,16,"Sep 22, 2020 - Jan 14, 2021","Sep 22, 2020","Jan 14, 2021",,,7 min.,7,Not Yet Rated,0,,,Standard Series,Comedy,"Short Length Series, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
When You Feel Low!,2020,https://mydramalist.com/778382-when-you-feel-low,5,"Sep 16, 2020 - Oct 14, 2020","Sep 16, 2020","Oct 14, 2020",,,6 min.,6,Not Yet Rated,0,,,Standard Series,"Music, Comedy","Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
The Male Friend among Guys,2020,https://mydramalist.com/776633-the-male-friend-among-guys,7,"Sep 12, 2020 - May 19, 2021","Sep 12, 2020","May 19, 2021",,,8 min.,8,Not Yet Rated,0,,,Standard Series,"Romance, Drama","School Setting, Short Length Series, Miniseries, High School, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
"So Handsome Man, Si Bel Homme",2020,https://mydramalist.com/68465-beautiful-man-sibelom,14,"Sep 11, 2020 - Oct  2, 2020","Sep 11, 2020","Oct  2, 2020",Friday,,5 min.,5,Not Yet Rated,9,2,,Standard Series,"Comedy, Youth","Web Series, Sitcom, (Vote tags)","Park Heung Shik, Seo Soo Min",,99999,99999,2,0.23,0
LOVE-Imong Season 2,2020,https://mydramalist.com/69567-love-imong-2,7,"Sep  4, 2020 - Nov  6, 2020","Sep  4, 2020","Nov  6, 2020",Friday,,22 min.,22,Not Yet Rated,6.5,8,,Standard Series,"Romance, Youth","Student Female Lead, Student Male Lead, School Setting, Young Adult Female Lead, Young Adult Male Lead, Short Length Series, University, Miniseries, Web Series, Multiple Couples, (Vote tags)",,,99999,99999,8,0.18,0
Scene and Box,2020,https://mydramalist.com/711005-scene-and-box-season-1,4,"Sep  4, 2020 - Sep 25, 2020","Sep  4, 2020","Sep 25, 2020",,,5 min.,5,Not Yet Rated,5.9,7,,Standard Series,"Romance, Youth","School Setting, Short Length Series, Miniseries, High School, Web Series, (Vote tags)",,,99999,99999,7,0.18,0
New Learn,2020,https://mydramalist.com/738073-new-learn,8,"Aug 21, 2020 - Oct  3, 2020","Aug 21, 2020","Oct  3, 2020","Friday, Saturday",,10 min.,10,Not Yet Rated,0,,,Standard Series,Youth,"YouTuber Male Lead, Short Length Series, Miniseries, Web Series, Friendship, (Vote tags)",,,99999,99999,0,0.18,0
My Mukbang Diary,2020,https://mydramalist.com/70321-my-mukbang-diary,8,"Aug  7, 2020 - Sep 25, 2020","Aug  7, 2020","Sep 25, 2020",Friday,,8 min.,8,G - All Ages,5.9,8,,Standard Series,"Food, Youth","YouTuber Female Lead, Short Length Series, ASMR, Mukbang, Miniseries, Web Series, Friendship, (Vote tags)",,,99999,99999,8,0.18,0
King of Convenience,2020,https://mydramalist.com/68257-king-of-convenience,11,"Jun 30, 2020 - Sep  8, 2020","Jun 30, 2020","Sep  8, 2020",Tuesday,,10 min.,10,Not Yet Rated,10,2,,Standard Series,"Comedy, Sitcom","Short Length Series, Web Series, (Vote tags)",,,99999,99999,2,0.23,0
Something Music,2020,https://mydramalist.com/775859-something-music,7,"Jun 23, 2020 - Jul 14, 2020","Jun 23, 2020","Jul 14, 2020",,,7 min.,7,Not Yet Rated,0,,,Standard Series,"Music, Drama","Workplace Setting, Café Setting, Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
Between Us Season 2,2020,https://mydramalist.com/778350-between-us-season-2,5,"Jun 16, 2020 - Jul 14, 2020","Jun 16, 2020","Jul 14, 2020",,,7 min.,7,Not Yet Rated,0,,,Standard Series,"Romance, Drama","Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
LOVE up-date,2020,https://mydramalist.com/714075-love-up-date,8,"Jun  5, 2020 - Jul  4, 2020","Jun  5, 2020","Jul  4, 2020",,,7 min.,7,Not Yet Rated,6,2,,Standard Series,"Romance, Drama","Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,2,0.18,0
Ssul's Day Lounge,2020,https://mydramalist.com/776985-ssul-s-day-lounge,9,"Jun  4, 2020 - Oct 22, 2020","Jun  4, 2020","Oct 22, 2020",Thursday,,9 min.,9,Not Yet Rated,0,,,Standard Series,Drama,"Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
My Boss Is a Million YouTuber,2020,https://mydramalist.com/62369-my-boss-is-a-youtube-millionaire,11,"Jun  3, 2020 - Jul  9, 2020","Jun  3, 2020","Jul  9, 2020","Wednesday, Thursday",,15 min.,15,Not Yet Rated,6.6,7,,Standard Series,"Comedy, Drama","YouTuber Male Lead, Workplace Setting, Office Worker Male Lead, Web Series, (Vote tags)",,,99999,99999,7,0.18,0
1990-Z,2020,https://mydramalist.com/777932-1990-z,3,"May 30, 2020 - Jun 19, 2020","May 30, 2020","Jun 19, 2020",,,6 min.,6,Not Yet Rated,0,,,Standard Series,Comedy,"Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
Relationships Are Also Returned,2020,https://mydramalist.com/777972-relationships-are-also-returned,10,"May 29, 2020 - Jun 30, 2020","May 29, 2020","Jun 30, 2020",,,9 min.,9,Not Yet Rated,0,,,Standard Series,"Comedy, Drama","Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
We Believe - Hidden Feelings,2020,https://mydramalist.com/61001-we-believe-hidden-feelings,2,"May 27, 2020 - 2020","May 27, 2020",2020,Wednesday,,,,Not Yet Rated,10,3,,Drama Special,Documentary,"COVID-19, Infectious Disease, Miniseries, Illness, (Vote tags)",,,99999,99999,3,0.23,0
Pandemic,2020,https://mydramalist.com/61003-pandemic,4,"May 21, 2020 - Sep 30, 2020","May 21, 2020","Sep 30, 2020",Thursday,,60 min.,60,Not Yet Rated,5,2,,Drama Special,Documentary,"COVID-19, Infectious Disease, Miniseries, Illness, (Vote tags)",Kim Jin Man,"Park Min Gyeong, Kim Bo Ra",99999,99999,2,0.18,0
Go With,2020,https://mydramalist.com/64871-go-with,2,"May  9, 2020 - May 10, 2020","May  9, 2020","May 10, 2020","Saturday, Sunday",,,,15+ - Teens 15 or older,10,2,,Standard Series,"Drama, Family","Miniseries, (Vote tags)",,Jo Gyoo Won,99999,99999,2,0.23,0
Between Us,2020,https://mydramalist.com/778348-between-us,3,"Apr 28, 2020 - May 12, 2020","Apr 28, 2020","May 12, 2020",,,9 min.,9,Not Yet Rated,0,,,Standard Series,"Romance, Drama","School Setting, Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
Shall We That’s,2020,https://mydramalist.com/77339-shall-we-that-s,6,"Apr 27, 2020 - Jul  9, 2020","Apr 27, 2020","Jul  9, 2020",Monday,,9 min.,9,15+ - Teens 15 or older,6.8,4,,Standard Series,"Life, Drama, Melodrama","Short Length Series, Mental Illness, Miniseries, Illness, Youth, (Vote tags)",,,99999,99999,4,0.18,0
ShorTest,2020,https://mydramalist.com/68109-shortest,2,"Apr 10, 2020 - Apr 17, 2020","Apr 10, 2020","Apr 17, 2020",Friday,,6 min.,6,Not Yet Rated,10,1,,Standard Series,,"Miniseries, Web Series, (Vote tags)",,,99999,99999,1,0.23,0
The Battle of Love,2020,https://mydramalist.com/776085-the-battle-of-love,2,"Mar 17, 2020 - Mar 19, 2020","Mar 17, 2020","Mar 19, 2020",,,8 min.,8,Not Yet Rated,0,,,Standard Series,Drama,"Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
Bad and Bad,2020,https://mydramalist.com/68307-bad-and-bad,1,"Feb 27, 2020","Feb 27, 2020",,,,10 min.,10,Not Yet Rated,7.1,5,,Drama Special,Drama,"Web Series, (Vote tags)",,,99999,99999,5,0.18,0
One Fun Girl,2020,https://mydramalist.com/728629-one-fun-girl,10,"Feb 18, 2020 - Apr 28, 2020","Feb 18, 2020","Apr 28, 2020",Tuesday,,5 min.,5,Not Yet Rated,2,2,,Standard Series,"Action, Comedy, Fantasy, Sitcom","Short Length Series, Breaking The Fourth Wall, Parody, Web Series, Villain Supporting Character, Superhero Female Lead, Criminal Supporting Character, Superhuman Strength, Telekinesis, Police Officer Supporting Character, (Vote tags)",,,99999,99999,2,0.18,0
Memoria Tempus,2020,https://mydramalist.com/777059-memoria-tempus,5,"Feb 18, 2020","Feb 18, 2020",,,,12 min.,12,Not Yet Rated,0,,,Standard Series,"Romance, Drama","Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
Open the Door,2020,https://mydramalist.com/73127-open-the-door,2,"Feb 17, 2020","Feb 17, 2020",,,,6 min.,6,Not Yet Rated,0,,,Drama Special,Horror,"Short Length Series, Miniseries, Web Series, Suspense, (Vote tags)",,,99999,99999,0,0.18,0
Campus Remake,2020,https://mydramalist.com/777161-campus-remake,4,"Feb 16, 2020 - Mar 16, 2020","Feb 16, 2020","Mar 16, 2020",Sunday,,7 min.,7,Not Yet Rated,0,,,Standard Series,"Comedy, Romance","Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
Sungkyunkwan Romance,2020,https://mydramalist.com/75639-sungkyunkwan-romance,3,"Feb 14, 2020","Feb 14, 2020",,,,9 min.,9,Not Yet Rated,5.7,4,,Standard Series,"Romance, Youth","Student Female Lead, School Setting, Young Adult Female Lead, Short Length Series, University, Miniseries, Web Series, (Vote tags)",,,99999,99999,4,0.18,0
Studio Call,2020,https://mydramalist.com/777209-studio-call,6,"Jan 22, 2020 - Feb  6, 2020","Jan 22, 2020","Feb  6, 2020",,,6 min.,6,Not Yet Rated,0,,,Standard Series,"Comedy, Drama","Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,0,0.18,0
Night of Love,2020,https://mydramalist.com/714667-night-of-love,6,"Jan 14, 2020 - Mar  6, 2020","Jan 14, 2020","Mar  6, 2020",Monday,,11 min.,11,G - All Ages,5.2,3,,Standard Series,"Mystery, Romance","Investigation, Short Length Series, Miniseries, (Vote tags)",,,99999,99999,3,0.18,0
Painless Youth,2020,https://mydramalist.com/54979-painless-youth,2,"Jan 10, 2020 - Jan 24, 2020","Jan 10, 2020","Jan 24, 2020",Friday,,9 min.,9,15+ - Teens 15 or older,5.6,7,,Standard Series,"Youth, Drama","Short Length Series, Miniseries, Web Series, (Vote tags)",,,99999,99999,7,0.18,0
Move to Heaven,2021,https://mydramalist.com/49231-move-to-heaven,10,"May 14, 2021","May 14, 2021",,Friday,,52 min.,52,18+ Restricted (violence & profanity),9.1,66327,Netflix,Standard Series,"Life, Drama","Uncle-Nephew Relationship, Autism, Death, Tearjerker, Savant Syndrome, Life Lesson, Asperger’s Syndrome, Autistic Male Lead, Smart Male Lead, Murder, (Vote tags)",Kim Sung Ho,Yoon Ji Ryun,33,38,66327,0.95,1
Hospital Playlist Season 2,2021,https://mydramalist.com/57173-hospital-playlist-2,12,"Jun 17, 2021 - Sep 16, 2021","Jun 17, 2021","Sep 16, 2021",Thursday,,1 hr. 40 min.,100,15+ - Teens 15 or older,9.1,43311,Netflix,Standard Series,"Romance, Life, Drama, Medical","Multiple Mains, Band, Music, Illness, Multiple Couples, Comedy, Bromance, Friendship, Divorced Male Lead, Smart Female Lead, (Vote tags)",Shin Won Ho,Lee Woo Jung,37,91,43311,0.9,1
Navillera,2021,https://mydramalist.com/59381-navillera,12,"Mar 22, 2021 - Apr 27, 2021","Mar 22, 2021","Apr 27, 2021","Monday, Tuesday",,1 hr. 5 min.,65,15+ - Teens 15 or older,8.9,22364,Netflix,Standard Series,"Life, Drama","Ballet, Life Lesson, Unusual Friendship, Adapted From A Webtoon, Second Chance, Father-Son Relationship, Character Development, Grandpa-Granddaughter Relationship, Bromance, Abuse Of Power, (Vote tags)",Han Dong Hwa,Lee Eun Mi,111,261,22364,0.9,1
Vincenzo,2021,https://mydramalist.com/61371-vincenzo,20,"Feb 20, 2021 - May  2, 2021","Feb 20, 2021","May  2, 2021","Saturday, Sunday",,1 hr. 25 min.,85,15+ - Teens 15 or older,8.9,116547,Netflix,Standard Series,"Comedy, Law, Crime, Drama","Mafia, Revenge, Slight Romance, Eccentric Female Lead, Smart Male Lead, Black Comedy, Badass Male Lead, Skilled Killer, Corruption, Slow Burn Romance, (Vote tags)",Kim Hee Won,Park Jae Bum,114,11,116547,0.92,1
Mouse,2021,https://mydramalist.com/58953-mouse,20,"Mar  3, 2021 - May 19, 2021","Mar  3, 2021","May 19, 2021","Wednesday, Thursday",,1 hr. 15 min.,75,18+ Restricted (violence & profanity),8.9,35783,"Amazon Prime Video, Apple TV+, Tubi, Viki, WeTV, iQIYI",Standard Series,"Thriller, Mystery, Psychological","Murder, Investigation, Character Development, Dark Fiction, Suspense, Flashback To Past, Grandma-Granddaughter Relationship, Death, Sexual Assault, School Bullying, (Vote tags)","Choi Joon Bae, Kang Cheol Woo",Choi Ran,118,118,35783,1,1
Happiness,2021,https://mydramalist.com/690709-happiness,12,"Nov  5, 2021 - Dec 11, 2021","Nov  5, 2021","Dec 11, 2021","Friday, Saturday",,1 hr. 5 min.,65,15+ - Teens 15 or older,8.8,67853,"Apple TV+, Netflix, Viki, WeTV, iQIYI",Standard Series,"Action, Thriller, Drama, Sci-Fi","Infectious Disease, Police Officer Female Lead, Lockdown, Quarantine, Detective Male Lead, Building Setting, Virus, Slow Burn Romance, Healthy Mains’ Relationship, Determined Female Lead, (Vote tags)",Ahn Gil Ho,Han Sang Woon,140,66,67853,1,1
